affiliation1,affiliation2,collaboration
60009151,60009254,5
60027561,60015161,5
60015161,60027561,5
60025135,60030612,5
60030612,60025135,5
60012708,60008724,5
60008724,60012708,5
60013983,60008928,5
60008928,60013983,5
60033241,60021726,5
60021726,60033241,5
60024941,60009253,5
60009253,60024941,5
60011575,60020599,5
60020599,60011575,5
60021726,60009253,5
60009253,60021726,5
60032144,60014662,5
60014662,60032144,5
60025278,60018038,5
60018038,60025278,5
60021293,60025278,5
60025278,60021293,5
60013372,60075274,5
60075274,60013372,5
60002952,60026638,5
60026638,60002952,5
60032350,60075274,5
60075274,60032350,5
60023831,60007493,5
60007493,60023831,5
60029311,60017366,5
60017366,60029311,5
60000745,60029278,5
60029278,60000745,5
60001439,60075274,5
60075274,60001439,5
60000473,60025278,5
60025278,60000473,5
60000745,60025778,5
60025778,60000745,5
60027950,60029445,5
60029445,60027950,5
60029311,60015400,5
60015400,60029311,5
60025534,60017366,5
60017366,60025534,5
60030612,60007278,5
60007278,60030612,5
60028186,60011048,5
60011048,60028186,5
60000745,60032083,5
60032083,60000745,5
60002798,60000745,5
60002798,60017161,5
60000745,60002798,5
60017161,60002798,5
60020304,60075274,5
60075274,60020304,5
60005286,60013959,5
60013959,60005286,5
60024350,60087534,5
60087534,60024350,5
60011048,60075274,5
60075274,60011048,5
60011048,60021784,5
60021784,60011048,5
60017161,60000473,5
60017161,60013373,5
60000473,60017161,5
60013373,60017161,5
60000745,60029241,5
60029241,60000745,5
60009860,60002798,5
60002798,60009860,5
60010365,60021726,5
60021726,60010365,5
60022904,60010884,5
60010884,60022904,5
60022847,60012370,5
60012370,60022847,5
60019118,60025278,5
60025278,60019118,5
60014097,60075274,5
60075274,60014097,5
60009253,60029311,5
