journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
Null,VLDB Endowment,"Scholl, Tobias; Bauer, Bernhard; Gufler, Benjamin; Kuntschke, Richard; Weber, Daniel; Reiser, Angelika; Kemper, Alfons",HiSbase: histogram-based P2P main memory data management,09/23/2007,Null,Null,Null,1394,1397,Null,"['Tobias Scholl', '81321497743', 'Bernhard Bauer', '81100159710', 'Benjamin Gufler', '81342496279', 'Richard Kuntschke', '81100207365', 'Daniel Weber', '81547465356', 'Angelika Reiser', '81100024797', 'Alfons Kemper', '81100502713']","['Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722', 'Technische Universität München, Munich, Germany', '60019722']",[]
Null,VLDB Endowment,"Nambiar, Ullas; Kambhampati, Subbarao",Answering imprecise queries over web databases,08/30/2005,Null,Null,Null,1350,1353,Null,"['Ullas Nambiar', '81100579629', 'Subbarao Kambhampati', '81100442105']","['Arizona State University, Arizona', '60003892', 'Arizona State University, Arizona', '60003892']","['algorithms', 'performance', 'query formulation', 'scientific databases', 'world wide web']"
Null,VLDB Endowment,"Reiss, Frederick; Garofalakis, Minos; Hellerstein, Joseph M.",Compact histograms for hierarchical identifiers,09/01/2006,Null,Null,Null,870,881,Null,"['Frederick Reiss', '81100530350', 'Minos Garofalakis', '81100428642', 'Joseph M. Hellerstein', '81406597364']","['U.C. Berkeley Department of Electrical Engineering and Computer Science', '60025038', 'Intel Research Berkeley', '60033010', 'U.C. Berkeley Department of Electrical Engineering and Computer Science', '60025038']","['algorithms', 'design', 'distributed databases', 'performance', 'performance evaluation', 'query formulation']"
Null,VLDB Endowment,"Sismanis, Yannis; Brown, Paul; Haas, Peter J.; Reinwald, Berthold",GORDIAN: efficient and scalable discovery of composite keys,09/01/2006,Null,Null,Null,691,702,Null,"['Yannis Sismanis', '81100326261', 'Paul Brown', '81100013341', 'Peter J. Haas', '81408592851', 'Berthold Reinwald', '81100363807']","['IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'IBM Almaden Research Center, San Jose, CA', '60009253']","['algorithms', 'data mining', 'design', 'schema and subschema']"
Null,VLDB Endowment,"Jiang, Haifeng; Wang, Wei; Lu, Hongjun; Yu, Jeffrey Xu",Holistic twig joins on indexed XML documents,09/09/2003,Null,Null,Null,273,284,Null,"['Haifeng Jiang', '81452602730', 'Wei Wang', '81416594540', 'Hongjun Lu', '81451594025', 'Jeffrey Xu Yu', '81447600785']","['Dept. of Computer Science, The Hong Kong Univ. of Science and Technology, Hong Kong, China', '60008592', 'Dept. of Computer Science, The Hong Kong Univ. of Science and Technology, Hong Kong, China', '60008592', 'Dept. of Computer Science, The Hong Kong Univ. of Science and Technology, Hong Kong, China', '60008592', 'Dept. of Systems Engineering and Engineering Management, The Chinese Univ. of Hong Kong, Hong Kong, China', '60002798']","['algorithms', 'design', 'indexing methods', 'performance', 'performance evaluation', 'systems', 'xml']"
Null,VLDB Endowment,"Zhou, Jingren; Ross, Kenneth A.",Buffering accesses to memory-resident index structures,09/09/2003,Null,Null,Null,405,416,Null,"['Jingren Zhou', '81339541047', 'Kenneth A. Ross', '81100266442']","['Columbia University', '60030162', 'Columbia University', '60030162']","['access methods', 'design', 'file organization', 'indexing methods', 'management', 'performance', 'performance evaluation']"
Null,VLDB Endowment,"Kanne, Carl-Christian; Moerkotte, Guido",A linear time algorithm for optimal tree sibling partitioning and approximation algorithms in Natix,09/01/2006,Null,Null,Null,91,102,Null,"['Carl-Christian Kanne', '81100539550', 'Guido Moerkotte', '81100093367']","['Department of Mathematics and Computer Science, University of Mannheim', '60006341', 'Department of Mathematics and Computer Science, University of Mannheim', '60006341']","['algorithms', 'design', 'heuristic methods', 'logical design', 'trees']"
Null,VLDB Endowment,"Meng, Xiaofeng; Luo, Daofeng; Lee, Mong Li; An, Jing",OrientStore: a schema based native XML storage system,09/09/2003,Null,Null,Null,1057,1060,Null,"['Xiaofeng Meng', '81100222578', 'Daofeng Luo', '81100416157', 'Mong Li Lee', '81100386574', 'Jing An', '81542329356']","['Information School, Renmin University of China, Beijing, China', '60014402', 'Information School, Renmin University of China, Beijing, China', '60014402', 'School of Computing, National University of Singapore, Singapore', '60017161', 'Information School, Renmin University of China, Beijing, China', '60014402']","['design', 'management', 'schema and subschema', 'xml']"
Null,VLDB Endowment,"Baumann, Peter","Large-scale, standards-based earth observation imagery and web mapping services",09/09/2003,Null,Null,Null,1141,1144,Null,"['Peter Baumann', '81100444176']",[],"['design', 'general', 'management', 'spatial databases and gis']"
Null,VLDB Endowment,"Jagatheesan, Arun; Moore, Reagan; Paton, Norman W.; Watson, Paul",Grid data management systems & services,09/09/2003,Null,Null,Null,1150,1150,Null,"['Arun Jagatheesan', '81100622048', 'Reagan Moore', '81331499525', 'Norman W. Paton', '81100419258', 'Paul Watson', '81100375786']","['San Diego Supercomputer Center, University of California at San Diego, La Jolla, CA and Institute for High Energy Physics and Astrophysics, University of Florida, Gainesville, FL', '60030612', 'San Diego Supercomputer Center, University of California at San Diego, La Jolla, CA', '60025135', 'Department of Computer Science, University of Manchester, Manchester, UK', '60003771', 'School of Computing Science University of Newcastle-upon-Tyne, Newcastle-upon-Tyne, UK', '60006222']","['design', 'distributed systems', 'logical design', 'management', 'physical design']"
Null,VLDB Endowment,"Imielinski, Tomasz; Nath, Badri","Wireless graffiti: data, data everywhere",08/20/2002,Null,Null,Null,9,19,Null,"['Tomasz Imielinski', '81100164746', 'Badri Nath', '81100660747']","['Department of Computer Science, Rutgers University, Piscataway, NJ', '60030623', 'Department of Computer Science, Rutgers University, Piscataway, NJ', '60030623']","['distributed databases', 'distributed databases', 'management', 'signal processing systems', 'theory', 'wireless communication']"
Null,VLDB Endowment,"Wu, Tianyi; Li, Xiaolei; Xin, Dong; Han, Jiawei; Lee, Jacob; Redder, Ricardo",DataScope: viewing database contents in Google Maps' way,09/23/2007,Null,Null,Null,1314,1317,Null,"['Tianyi Wu', '81351591734', 'Xiaolei Li', '81351597612', 'Dong Xin', '81100651387', 'Jiawei Han', '81351593425', 'Jacob Lee', '81544104156', 'Ricardo Redder', '81342508681']","['University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745']",[]
Null,VLDB Endowment,"Xie, Min; Wang, Haixun; Yin, Jian; Meng, Xiaofeng",Integrity auditing of outsourced data,09/23/2007,Null,Null,Null,782,793,Null,"['Min Xie', '81100418539', 'Haixun Wang', '81455605782', 'Jian Yin', '81474664505', 'Xiaofeng Meng', '81100222578']","['Renmin University of China, Beijing, China', '60014402', 'IBM T. J. Watson Research Center, Hawthorne, NY', '60017366', 'IBM T. J. Watson Research Center, Hawthorne, NY', '60017366', 'Renmin University of China, Beijing, China', '60014402']",[]
Null,VLDB Endowment,"Kersten, Martin; Weikum, Gerhard; Franklin, Michael; Keim, Daniel; Buchmann, Alex; Chaudhuri, Surajit",A database striptease or how to manage your personal databases,09/09/2003,Null,Null,Null,1043,1044,Null,"['Martin Kersten', '81337490480', 'Gerhard Weikum', '81100576787', 'Michael Franklin', '81452614168', 'Daniel Keim', '81100126311', 'Alex Buchmann', '81100062617', 'Surajit Chaudhuri', '81351600352']","['CWI, Netherlands', '60011575', 'Univ. Saarland, Germany', '60033241', 'U.C. Berkeley', '60025038', 'Univ. Konstanz, Germany', '60025525', 'Microsoft Research', '60021726']","['general', 'general', 'management', 'theory']"
Null,VLDB Endowment,"Lee, Ki Yong; Kim, Myoung Ho",Efficient incremental maintenance of data cubes,09/01/2006,Null,Null,Null,823,833,Null,"['Ki Yong Lee', '81409592812', 'Myoung Ho Kim', '81367595570']","['Software Laboratories, Samsung Electronics Co., Ltd., Suwon-City, Gyeonggi-Do, Korea', '60003780', 'Korea Advanced Institute of Science and Technology, Daejeon-City, Korea', '60032144']","['data models', 'data warehouse and repository', 'design', 'management', 'performance', 'performance evaluation', 'schema and subschema']"
Null,VLDB Endowment,"Bleiholder, Jens; Draba, Karsten; Naumann, Felix",FuSem: exploring different semantics of data fusion,09/23/2007,Null,Null,Null,1350,1353,Null,"['Jens Bleiholder', '81100606205', 'Karsten Draba', '81100616486', 'Felix Naumann', '81100447576']","['Hasso-Plattner-Institut, Potsdam', '60021763', 'Hasso-Plattner-Institut, Potsdam', '60021763', 'Hasso-Plattner-Institut, Potsdam', '60021763']",[]
Null,VLDB Endowment,"Nath, Suman; Deshpande, Amol; Ke, Yan; Gibbons, Phillip B.; Karp, Brad; Seshan, Srinivasan",IrisNet: an architecture for internet-scale sensing services,09/09/2003,Null,Null,Null,1137,1140,Null,"['Suman Nath', '81100660706', 'Amol Deshpande', '81100017246', 'Yan Ke', '81100561745', 'Phillip B. Gibbons', '81339501335', 'Brad Karp', '81100326782', 'Srinivasan Seshan', '81100090331']","['Carnegie Mellon University and Intel Research Pittsburgh', '60027950', 'U.C. Berkeley and Intel Research Pittsburgh', '60033010', 'Carnegie Mellon University and Intel Research Pittsburgh', '60027950', 'Intel Research Pittsburgh', '60033010', 'Intel Research Pittsburgh', '60033010', 'Carnegie Mellon University and Intel Research Pittsburgh', '60027950']","['design', 'distributed systems', 'information networks', 'management', 'signal processing systems', 'wireless communication']"
Null,VLDB Endowment,"Haftmann, Florian; Kossmann, Donald; Lo, Eric",Parallel execution of test runs for database application systems,08/30/2005,Null,Null,Null,589,600,Null,"['Florian Haftmann', '81100626997', 'Donald Kossmann', '81100626540', 'Eric Lo', '81100147129']","['ETH Zurich, Zurich', '60025858']","['algorithms', 'concurrency', 'design studies', 'distributed applications', 'parallel algorithms', 'performance']"
Null,VLDB Endowment,"Berberich, Klaus; Bedathur, Srikanta; Neumann, Thomas; Weikum, Gerhard",FluxCapacitor: efficient time-travel text search,09/23/2007,Null,Null,Null,1414,1417,Null,"['Klaus Berberich', '81314481231', 'Srikanta Bedathur', '81320487534', 'Thomas Neumann', '81340491781', 'Gerhard Weikum', '81100576787']","['Max-Planck Institute for Informatics, Saarbrücken, Germany', '60000256', 'Max-Planck Institute for Informatics, Saarbrücken, Germany', '60000256', 'Max-Planck Institute for Informatics, Saarbrücken, Germany', '60000256', 'Max-Planck Institute for Informatics, Saarbrücken, Germany', '60000256']",[]
Null,VLDB Endowment,"Lee, Ken C. K.; Zheng, Baihua; Li, Huajing; Lee, Wang-Chien",Approaching the skyline in Z order,09/23/2007,Null,Null,Null,279,290,Null,"['Ken C. K. Lee', '81363603042', 'Baihua Zheng', '81100580861', 'Huajing Li', '81314483397', 'Wang-Chien Lee', '81350569870']","['Pennsylvania State University, University Park, PA', '60001439', 'Singapore Management University, Singapore', '60018933', 'Pennsylvania State University, University Park, PA', '60001439', 'Pennsylvania State University, University Park, PA', '60001439']",[]
Null,VLDB Endowment,"Pal, Shankar; Cseri, Istvan; Seeliger, Oliver; Rys, Michael; Schaller, Gideon; Yu, Wei; Tomic, Dragan; Baras, Adrian; Berg, Brandon; Churin, Denis; Kogan, Eugene",XQuery implementation in a relational database system,08/30/2005,Null,Null,Null,1175,1186,Null,"['Shankar Pal', '81100250272', 'Istvan Cseri', '81100277362', 'Oliver Seeliger', '81100608154', 'Michael Rys', '81100330340', 'Gideon Schaller', '81100252932', 'Wei Yu', '81317503120', 'Dragan Tomic', '81100485497', 'Adrian Baras', '81100067288', 'Brandon Berg', '81100128657', 'Denis Churin', '81100082965', 'Eugene Kogan', '81100567468']","['Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, Washington', '60026532']","['algorithms', 'design', 'languages', 'microsoft sql server', 'query languages', 'relational databases', 'xml']"
Null,VLDB Endowment,"Ipeirotis, Panagiotis G.; Gravano, Luis",Distributed search over the hidden web: hierarchical database sampling and selection,08/20/2002,Null,Null,Null,394,405,Null,"['Panagiotis G. Ipeirotis', '81100225930', 'Luis Gravano', '81100495046']","['Columbia University', '60030162', 'Columbia University', '60030162']","['algorithms', 'design', 'distributed databases', 'information search and retrieval', 'performance', 'performance evaluation', 'web-based services']"
Null,VLDB Endowment,"Manolescu, Ioana; Manegold, Stefan",Performance evaluation and experimental assessment: conscience or curse of database research?,09/23/2007,Null,Null,Null,1441,1442,Null,"['Ioana Manolescu', '81100402995', 'Stefan Manegold', '81100548390']","['INRIA Futurs, France', '60025177', 'CWI, Netherlands', '60011575']",[]
Null,VLDB Endowment,"Zhou, Xuan; Pang, HweeHwa; Tan, Kian-Lee; Mangla, Dhruv",WmXML: a system for watermarking XML data,08/30/2005,Null,Null,Null,1318,1321,Null,"['Xuan Zhou', '81100266155', 'HweeHwa Pang', '81100143812', 'Kian-Lee Tan', '81451597529', 'Dhruv Mangla', '81100056280']","['Institute for Infocomm Research, Singapore', '60002668', 'National University of Singapore, Singapore', '60017161', 'National University of Singapore, Singapore', '60017161']","['algorithms', 'authentication', 'languages', 'performance', 'query formulation', 'xml']"
Null,VLDB Endowment,"Chen, Qiuxia; Chen, Lei; Lian, Xiang; Liu, Yunhao; Yu, Jeffrey Xu",Indexable PLA for efficient similarity search,09/23/2007,Null,Null,Null,435,446,Null,"['Qiuxia Chen', '81451592714', 'Lei Chen', '81350582990', 'Xiang Lian', '81331498183', 'Yunhao Liu', '81371594524', 'Jeffrey Xu Yu', '81447600785']","['Hong Kong University of Science and Technology, Hong Kong, China', '60008592', 'Hong Kong University of Science and Technology, Hong Kong, China', '60008592', 'Hong Kong University of Science and Technology, Hong Kong, China', '60008592', 'Hong Kong University of Science and Technology, Hong Kong, China', '60008592', 'The Chinese University of Hong Kong, Hong Kong, China', '60002798']",[]
Null,VLDB Endowment,"Barbosa, Denilson; Freire, Juliana; Mendelzon, Alberto O.",Designing information-preserving mapping schemes for XML,08/30/2005,Null,Null,Null,109,120,Null,"['Denilson Barbosa', '81100505132', 'Juliana Freire', '81100285029', 'Alberto O. Mendelzon', '81100058787']","['University of Calgary', '60002306', 'University of Utah', '60025488', 'University of Toronto', '60016849']","['algorithms', 'document management', 'experimentation', 'performance', 'relational databases', 'xml']"
Null,VLDB Endowment,"Cheng, Tao; Yan, Xifeng; Chang, Kevin Chen-Chuan",EntityRank: searching entities directly and holistically,09/23/2007,Null,Null,Null,387,398,Null,"['Tao Cheng', '81324488615', 'Xifeng Yan', '81100044779', 'Kevin Chen-Chuan Chang', '81451592807']","['University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745', 'University of Illinois at Urbana-Champaign', '60000745']",[]
Null,VLDB Endowment,"Biton, Olivier; Cohen-Boulakia, Sarah; Davidson, Susan B.",Zoom*UserViews: querying relevant provenance in workflow systems,09/23/2007,Null,Null,Null,1366,1369,Null,"['Olivier Biton', '81331489323', 'Sarah Cohen-Boulakia', '81350578768', 'Susan B. Davidson', '81100098278']","['University of Pennsylvania, Philadelphia', '60006297', 'University of Pennsylvania, Philadelphia', '60006297', 'University of Pennsylvania, Philadelphia', '60006297']",[]
Null,VLDB Endowment,"Haas, Peter J.; Hueske, Fabian; Markl, Volker",Detecting attribute dependencies from query feedback,09/23/2007,Null,Null,Null,830,841,Null,"['Peter J. Haas', '81408592851', 'Fabian Hueske', '81342498141', 'Volker Markl', '81100233770']","['IBM Almaden Research Center, San Jose, CA', '60009253', 'University of Ulm, Ulm, Germany', '60010586', 'IBM Almaden Research Center, San Jose, CA', '60009253']",[]
Null,VLDB Endowment,"Chen, Chen; Yan, Xifeng; Yu, Philip S.; Han, Jiawei; Zhang, Dong-Qing; Gu, Xiaohui",Towards graph containment search and indexing,09/23/2007,Null,Null,Null,926,937,Null,"['Chen Chen', '81375599868', 'Xifeng Yan', '81100044779', 'Philip S. Yu', '81350576309', 'Jiawei Han', '81351593425', 'Dong-Qing Zhang', '81100115483', 'Xiaohui Gu', '81455605502']","['University of Illinois at Urbana-Champaign', '60000745', 'IBM T. J. Watson Research Center', '60017366', 'IBM T. J. Watson Research Center', '60017366', 'University of Illinois at Urbana-Champaign', '60000745', 'IBM T. J. Watson Research Center', '60017366']",[]
Null,VLDB Endowment,"Hu, Ying; Sundara, Seema; Chorma, Timothy; Srinivasan, Jagannathan",Supporting RFID-based item tracking applications in Oracle DBMS using a bitmap datatype,08/30/2005,Null,Null,Null,1140,1151,Null,"['Ying Hu', '81319493206', 'Seema Sundara', '81100143036', 'Timothy Chorma', '81100246385', 'Jagannathan Srinivasan', '81100406650']","['Oracle, One Oracle Drive, Nashua, NH', '60027758', 'Oracle, One Oracle Drive, Nashua, NH', '60027758', 'Oracle, One Oracle Drive, Nashua, NH', '60027758', 'Oracle, One Oracle Drive, Nashua, NH', '60027758']","['algorithms', 'data description languages', 'logistics', 'oracle', 'performance']"
Null,VLDB Endowment,"Silberstein, Adam; Puggioni, Gavino; Gelfand, Alan; Munagala, Kamesh; Yang, Jun",Suppression and failures in sensor networks: a Bayesian approach,09/23/2007,Null,Null,Null,842,853,Null,"['Adam Silberstein', '81100347931', 'Gavino Puggioni', '81414606536', 'Alan Gelfand', '81100646487', 'Kamesh Munagala', '81100567975', 'Jun Yang', '81350589851']","['Duke University', '60008724', 'Duke University', '60008724', 'Duke University', '60008724', 'Duke University', '60008724', 'Duke University', '60008724']",[]
Null,VLDB Endowment,"Dittrich, Jens-Peter; Salles, Marcos Antonio Vaz; Kossmann, Donald; Blunschi, Lukas",iMeMex: escapes from the personal information jungle,08/30/2005,Null,Null,Null,1306,1309,Null,"['Jens-Peter Dittrich', '81100532158', 'Marcos Antonio Vaz Salles', '81100165590', 'Donald Kossmann', '81100626540', 'Lukas Blunschi', '81100417185']","['Institute of Information Systems, ETH Zurich, Zurich, Switzerland', '60025858', 'Institute of Information Systems, ETH Zurich, Zurich, Switzerland', '60025858', 'Institute of Information Systems, ETH Zurich, Zurich, Switzerland', '60025858', 'Institute of Information Systems, ETH Zurich, Zurich, Switzerland', '60025858']","['algorithms', 'distributed applications', 'distributed databases', 'object-oriented databases', 'performance']"
Null,VLDB Endowment,"Kacholia, Varun; Pandit, Shashank; Chakrabarti, Soumen; Sudarshan, S.; Desai, Rushi; Karambelkar, Hrishikesh",Bidirectional expansion for keyword search on graph databases,08/30/2005,Null,Null,Null,505,516,Null,"['Varun Kacholia', '81100382218', 'Shashank Pandit', '81547633356', 'Soumen Chakrabarti', '81100424876', 'S. Sudarshan', '81100314768', 'Rushi Desai', '81342492823', 'Hrishikesh Karambelkar', '81100250069']","['Indian Institute of Technology, Bombay', '60014153', 'Indian Institute of Technology, Bombay', '60014153', 'Indian Institute of Technology, Bombay', '60014153', 'Indian Institute of Technology, Bombay', '60014153', 'Indian Institute of Technology, Bombay', '60014153', 'Indian Institute of Technology, Bombay', '60014153']","['algorithms', 'html', 'languages', 'performance', 'spatial databases and gis', 'xml']"
Null,VLDB Endowment,"Li, Wen-Syan; Gao, Dengfeng; Bhatti, Rafae; Narang, Inderpal; Matsuzawa, Hirofumi; Numao, Masayuki; Ohkawa, Masahiro; Fukuda, Takeshi",Deadline and QoS aware data warehouse,09/23/2007,Null,Null,Null,1418,1421,Null,"['Wen-Syan Li', '81375607352', 'Dengfeng Gao', '81542460356', 'Rafae Bhatti', '81100545165', 'Inderpal Narang', '81100460545', 'Hirofumi Matsuzawa', '81543772856', 'Masayuki Numao', '81339520059', 'Masahiro Ohkawa', '81342506279', 'Takeshi Fukuda', '81100444005']","['IBM Almaden Research Center', '60009253', 'IBM Almaden Research Center', '60009253', 'IBM Almaden Research Center', '60009253', 'IBM Almaden Research Center', '60009253', 'IBM Tokyo Research Laboratory', '60004066', 'IBM Tokyo Research Laboratory', '60004066', 'IBM Yamato Software Laboratory', '60021293', 'IBM Yamato Software Laboratory', '60021293']",[]
Null,VLDB Endowment,"Shah, Shetal; Dharmarajan, Shyamshankar; Ramamritham, Krithi",An efficient and resilient approach to filtering and disseminating streaming data,09/09/2003,Null,Null,Null,57,68,Null,"['Shetal Shah', '81337493050', 'Shyamshankar Dharmarajan', '81340489048', 'Krithi Ramamritham', '81100023686']","['TCS Lab for Internet Research, Dept of Comp Science and Engg, Indian Institute of Technology Bombay, Mumbai, India', '60014153', 'TCS Lab for Internet Research, Dept of Comp Science and Engg, Indian Institute of Technology Bombay, Mumbai, India', '60014153', 'TCS Lab for Internet Research, Dept of Comp Science and Engg, Indian Institute of Technology Bombay, Mumbai, India', '60014153']","['algorithms', 'design', 'information search and retrieval', 'performance', 'performance evaluation']"
Null,VLDB Endowment,"Wang, Qihua; Yu, Ting; Li, Ninghui; Lobo, Jorge; Bertino, Elisa; Irwin, Keith; Byun, Ji-Won",On the correctness criteria of fine-grained access control in relational databases,09/23/2007,Null,Null,Null,555,566,Null,"['Qihua Wang', '81319503861', 'Ting Yu', '81100471558', 'Ninghui Li', '81100475364', 'Jorge Lobo', '81100312737', 'Elisa Bertino', '81409594658', 'Keith Irwin', '81309503640', 'Ji-Won Byun', '81100200124']","['Purdue University', '60009254', 'North Carolina State University', '60004923', 'Purdue University', '60009254', 'IBM Watson Research Center', '60017366', 'Purdue University', '60009254', 'North Carolina State University', '60004923', 'Purdue University', '60009254']",[]
Null,VLDB Endowment,"Botan, Irina; Kossmann, Donald; Fischer, Peter M.; Kraska, Tim; Florescu, Dana; Tamosevicius, Rokas",Extending XQuery with window functions,09/23/2007,Null,Null,Null,75,86,Null,"['Irina Botan', '81414596994', 'Donald Kossmann', '81100626540', 'Peter M. Fischer', '81340488855', 'Tim Kraska', '81317496250', 'Dana Florescu', '81452617809', 'Rokas Tamosevicius', '81331505239']","['ETH Zurich', '60025858', 'ETH Zurich', '60025858', 'ETH Zurich', '60025858', 'ETH Zurich', '60025858', 'ETH Zurich', '60025858']",[]
Null,VLDB Endowment,"Hammel, Laurie; Patel, Jignesh M.",Searching on the secondary structure of protein sequences,08/20/2002,Null,Null,Null,634,645,Null,"['Laurie Hammel', '81337489659', 'Jignesh M. Patel', '81350582809']","['Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI', '60025778', 'Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI', '60025778']","['algorithms', 'biology and genetics', 'design', 'feature evaluation and selection', 'pattern analysis', 'performance', 'performance evaluation', 'search process', 'structural']"
Null,VLDB Endowment,"Shen, Warren; Doan, AnHai; Naughton, Jeffrey F.; Ramakrishnan, Raghu",Declarative information extraction using datalog with embedded extraction predicates,09/23/2007,Null,Null,Null,1033,1044,Null,"['Warren Shen', '81342510991', 'AnHai Doan', '81100156196', 'Jeffrey F. Naughton', '81100509752', 'Raghu Ramakrishnan', '81100290062']","['University of Wisconsin-Madison', '60032179', 'University of Wisconsin-Madison', '60032179', 'University of Wisconsin-Madison', '60032179', 'Yahoo! Research', '60075274']",[]
Null,VLDB Endowment,"Özsoyoǧlu, G.; Al-Hamdani, A.; Altingövde, I. S.; Özel, S. A.; Ulusoy, Ö.; Özsoyoǧlu, Z. M.",Sideway value algebra for object-relational databases,08/20/2002,Null,Null,Null,59,70,Null,"['G. Özsoyoǧlu', '81100358131', 'A. Al-Hamdani', '81100489074', 'I. S. Altingövde', '81100461898', 'S. A. Özel', '81100648129', 'Ö. Ulusoy', '81100529316', 'Z. M. Özsoyoǧlu', '81100289424']","['EECS Dept, Case Western Reserve University, Cleveland, Ohio', '60000305', 'EECS Dept, Case Western Reserve University, Cleveland, Ohio', '60000305', 'Comp. Eng. Dept, Bilkent University, Ankara, Turkey', '60014808', 'Comp. Eng. Dept, Bilkent University, Ankara, Turkey', '60014808', 'Comp. Eng. Dept, Bilkent University, Ankara, Turkey', '60014808', 'EECS Dept, Case Western Reserve University, Cleveland, Ohio', '60000305']","['design', 'logical design', 'management', 'object-oriented databases', 'performance', 'performance evaluation', 'relational databases']"
Null,VLDB Endowment,"Abadi, Daniel J.; Marcus, Adam; Madden, Samuel R.; Hollenbach, Kate",Scalable semantic web data management using vertical partitioning,09/23/2007,Null,Null,Null,411,422,Null,"['Daniel J. Abadi', '81100545599', 'Adam Marcus', '81342503657', 'Samuel R. Madden', '81100092270', 'Kate Hollenbach', '81385593671']","['MIT', '60022195', 'MIT', '60022195', 'MIT', '60022195', 'MIT', '60022195']",[]
Null,VLDB Endowment,"Bouganim, Luc; Ngoc, François Dang; Pucheral, Philippe; Wu, Lilan",Chip-secured data access: reconciling access rights with data encryption,09/09/2003,Null,Null,Null,1133,1136,Null,"['Luc Bouganim', '81100097676', 'François Dang Ngoc', '81100632167', 'Philippe Pucheral', '81100584974', 'Lilan Wu', '81340494216']","['INRIA Rocquencourt, France', '60032401', 'INRIA Rocquencourt, France and PRISM Laboratory, Versailles, France', '60032401']","['access methods', 'authentication', 'management', 'security', 'security, integrity, and protection']"
Null,VLDB Endowment,"Vaz Salles, Marcos Antonio; Dittrich, Jens-Peter; Karakashian, Shant Kirakos; Girard, Olivier René; Blunschi, Lukas",iTrails: pay-as-you-go information integration in dataspaces,09/23/2007,Null,Null,Null,663,674,Null,"['Marcos Antonio Vaz Salles', '81100165590', 'Jens-Peter Dittrich', '81100532158', 'Shant Kirakos Karakashian', '81342499645', 'Olivier René Girard', '81342495444', 'Lukas Blunschi', '81100417185']","['ETH Zurich, Zurich, Switzerland', '60025858', 'ETH Zurich, Zurich, Switzerland', '60025858', 'ETH Zurich, Zurich, Switzerland', '60025858', 'ETH Zurich, Zurich, Switzerland', '60025858', 'ETH Zurich, Zurich, Switzerland', '60025858']",[]
Null,VLDB Endowment,"Kaushik, Raghav; Bohannon, Philip; Naughton, Jeffrey F.; Shenoy, Pradeep",Updates for structure indexes,08/20/2002,Null,Null,Null,239,250,Null,"['Raghav Kaushik', '81100403353', 'Philip Bohannon', '81100327067', 'Jeffrey F. Naughton', '81100509752', 'Pradeep Shenoy', '81337493710']","['Univ. of Wisconsin, Madison', '60032179', 'Lucent Technologies, Bell Laboratories', '60009151', 'Univ. of Wisconsin, Madison', '60032179', 'Univ. of Washington, Seattle', '60015481']","['algorithms', 'design', 'graph algorithms', 'indexing methods', 'measurement', 'query formulation', 'similarity measures']"
Null,VLDB Endowment,"Bati, Hardik; Giakoumakis, Leo; Herbert, Steve; Surna, Aleksandras",A genetic approach for random testing of database systems,09/23/2007,Null,Null,Null,1243,1251,Null,"['Hardik Bati', '81342488929', 'Leo Giakoumakis', '81340489182', 'Steve Herbert', '81421599140', 'Aleksandras Surna', '81342512874']","['Microsoft Corporation, One Microsoft Way, Redmond, WA', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, WA', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, WA', '60026532', 'Microsoft Corporation, One Microsoft Way, Redmond, WA', '60026532']",[]
